1,3,Face Cream,1,45.00,45.00
2,2,Insulin,1,120.00,120.00
3,6,test2,5,120.00,600.00
4,6,test2,5,120.00,600.00
5,7,test3,5,30.00,150.00
6,2,Insulin,2,120.00,240.00
7,8,test4,3,5.00,15.00
8,9,test5,9,50.00,450.00
9,9,test5,1,50.00,50.00
10,8,test4,5,5.00,25.00
11,10,Shampoo,5,200.00,1000.00
12,8,test4,2,5.00,10.00
13,1,Panadol,1,15.50,15.50
13,4,Aspirin,1,12.00,12.00
14,4,Aspirin,1,12.00,12.00
14,2,Insulin,1,120.00,120.00
15,1,Panadol,1,15.50,15.50
15,10,Shampoo,1,200.00,200.00
16,1,Panadol,1,15.50,15.50
17,4,Aspirin,1,12.00,12.00
17,10,Shampoo,1,200.00,200.00
18,1,Panadol,1,15.50,15.50
19,10,Shampoo,2,200.00,400.00
20,4,Aspirin,4,12.00,48.00
21,4,Aspirin,6,12.00,72.00
22,7,ff,2,30.00,60.00
23,4,test,20,15.00,300.00
24,5,Shampoo,2,200.00,400.00
